Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Galutinis
Vardas1162 Pavarde1162 1 2 2 2 4 6 7 8 9 10 9
Vardas1163 Pavarde1163 3 3 4 6 6 8 9 10 10 10 9
Vardas1164 Pavarde1164 1 1 1 4 4 5 5 6 6 8 6
Vardas1167 Pavarde1167 2 2 3 3 4 5 6 7 9 10 9
Vardas1168 Pavarde1168 1 4 4 5 6 6 9 9 9 10 5
Vardas1169 Pavarde1169 1 1 3 5 5 6 7 7 8 10 10
Vardas117 Pavarde117 1 3 5 6 7 8 8 8 9 9 6
Vardas1170 Pavarde1170 1 1 1 2 2 6 6 6 8 9 7
Vardas1174 Pavarde1174 1 2 2 3 4 6 6 8 9 10 10
Vardas1175 Pavarde1175 1 2 2 4 5 5 6 9 10 10 8
Vardas1176 Pavarde1176 2 3 3 4 4 5 6 7 9 10 7
Vardas1178 Pavarde1178 2 3 3 5 5 5 5 7 9 9 6
Vardas118 Pavarde118 2 2 2 3 4 5 6 7 7 7 10
Vardas1181 Pavarde1181 1 2 2 3 5 5 7 7 8 8 10
Vardas1182 Pavarde1182 1 3 3 4 6 7 8 8 9 9 10
Vardas1183 Pavarde1183 1 1 1 2 4 5 5 8 9 10 9
Vardas1184 Pavarde1184 1 1 1 1 2 3 5 7 9 10 7
Vardas1188 Pavarde1188 1 2 5 5 6 6 8 10 10 10 6
Vardas1189 Pavarde1189 3 5 6 7 7 7 9 10 10 10 6
Vardas1191 Pavarde1191 2 2 3 3 4 4 7 9 9 10 10
Vardas1192 Pavarde1192 2 3 4 5 5 6 6 7 8 9 8
Vardas1195 Pavarde1195 2 4 5 5 5 6 6 6 6 8 6
Vardas1196 Pavarde1196 1 2 3 3 4 4 4 6 7 10 7
Vardas1197 Pavarde1197 1 3 6 6 7 7 8 8 9 10 5
Vardas1199 Pavarde1199 1 2 5 5 6 7 7 8 9 10 9
Vardas12 Pavarde12 1 1 2 2 2 3 3 3 8 8 8
Vardas120 Pavarde120 3 3 4 5 5 5 8 9 10 10 7
Vardas1200 Pavarde1200 1 2 3 4 5 5 8 8 9 9 6
Vardas1201 Pavarde1201 3 3 6 6 6 7 8 8 9 10 8
Vardas1202 Pavarde1202 1 1 2 2 4 4 6 7 9 10 10
Vardas1203 Pavarde1203 2 2 2 3 4 5 7 8 9 10 6
Vardas1204 Pavarde1204 2 3 4 4 6 7 8 9 9 10 5
Vardas1207 Pavarde1207 2 3 3 4 4 5 7 7 9 10 7
Vardas1208 Pavarde1208 2 3 4 6 6 8 8 8 9 10 6
Vardas1209 Pavarde1209 1 4 4 5 6 7 8 8 8 10 9
Vardas121 Pavarde121 1 1 2 2 3 4 7 7 9 10 7
Vardas1212 Pavarde1212 1 2 2 3 3 4 5 7 8 10 7
Vardas1214 Pavarde1214 1 2 2 2 3 5 6 8 9 10 6
Vardas1215 Pavarde1215 2 2 4 5 5 7 8 9 9 9 6
Vardas1216 Pavarde1216 2 3 3 3 4 5 9 9 10 10 9
Vardas1217 Pavarde1217 2 3 3 5 6 6 8 9 9 10 5
Vardas1218 Pavarde1218 1 2 2 4 4 4 4 8 8 10 8
Vardas1219 Pavarde1219 1 1 5 5 5 7 8 8 10 10 10
Vardas1223 Pavarde1223 1 2 3 3 3 5 5 6 7 9 9
Vardas1225 Pavarde1225 1 1 1 2 2 5 8 8 9 9 10
Vardas1226 Pavarde1226 1 2 4 4 4 6 7 7 8 8 10
Vardas1228 Pavarde1228 1 1 1 5 5 5 5 10 10 10 10
Vardas1229 Pavarde1229 2 3 5 5 6 6 7 7 8 9 6
Vardas123 Pavarde123 1 1 5 6 7 7 8 8 9 10 10
Vardas1231 Pavarde1231 1 2 3 3 4 6 7 7 10 10 7
Vardas1232 Pavarde1232 3 4 5 5 5 6 6 7 8 10 7
Vardas1233 Pavarde1233 1 1 1 1 2 3 6 7 8 10 10
Vardas1234 Pavarde1234 1 1 3 3 4 4 5 7 7 8 7
Vardas1237 Pavarde1237 1 2 2 3 3 7 8 8 10 10 7
Vardas1238 Pavarde1238 1 2 2 3 3 6 7 8 9 10 8
Vardas1239 Pavarde1239 1 1 1 3 3 4 4 7 8 9 6
Vardas124 Pavarde124 1 3 4 5 5 8 8 8 8 9 6
Vardas1241 Pavarde1241 1 2 4 4 4 4 5 6 6 7 10
Vardas1242 Pavarde1242 1 1 2 2 3 6 7 8 9 10 9
Vardas1245 Pavarde1245 3 4 5 6 6 7 7 7 9 9 8
Vardas1247 Pavarde1247 2 3 3 4 5 6 8 8 8 9 7
Vardas1251 Pavarde1251 4 5 5 6 8 8 9 9 10 10 5
Vardas1252 Pavarde1252 2 2 2 5 5 6 7 9 9 10 7
Vardas1255 Pavarde1255 1 3 4 6 8 9 9 10 10 10 6
Vardas1256 Pavarde1256 2 2 4 5 6 6 8 9 10 10 7
Vardas1257 Pavarde1257 1 1 4 5 7 7 7 8 10 10 6
Vardas1258 Pavarde1258 3 3 5 5 5 7 8 9 9 10 7
Vardas126 Pavarde126 1 2 3 3 4 4 7 8 9 10 10
Vardas1260 Pavarde1260 1 1 2 3 4 4 6 8 8 9 8
Vardas1261 Pavarde1261 1 2 2 3 4 4 8 9 9 10 7
Vardas1264 Pavarde1264 3 3 3 4 6 6 7 9 10 10 5
Vardas1269 Pavarde1269 2 3 4 4 5 5 6 8 10 10 9
Vardas1270 Pavarde1270 1 3 3 5 6 7 8 8 10 10 5
Vardas1271 Pavarde1271 2 3 4 4 4 5 6 8 8 9 7
Vardas1273 Pavarde1273 1 2 2 3 5 7 8 9 10 10 6
Vardas1275 Pavarde1275 1 1 2 4 4 9 9 9 10 10 6
Vardas1276 Pavarde1276 2 3 4 4 5 7 7 7 7 10 7
Vardas1277 Pavarde1277 4 4 5 6 6 7 7 7 8 8 6
Vardas1279 Pavarde1279 2 4 5 6 6 6 7 7 8 10 8
Vardas128 Pavarde128 1 2 4 4 5 6 6 8 9 10 8
Vardas1280 Pavarde1280 1 2 3 4 5 5 8 9 9 10 6
Vardas1282 Pavarde1282 2 2 3 3 5 5 6 7 7 10 9
Vardas1283 Pavarde1283 1 3 4 5 6 7 7 9 10 10 6
Vardas1285 Pavarde1285 1 1 1 3 4 5 6 9 9 9 8
Vardas1289 Pavarde1289 1 2 3 3 4 5 7 10 10 10 7
Vardas1295 Pavarde1295 1 2 2 3 3 3 5 8 9 10 6
Vardas1296 Pavarde1296 3 5 5 5 8 9 9 10 10 10 9
Vardas1298 Pavarde1298 1 1 2 3 4 4 4 5 7 10 6
Vardas13 Pavarde13 2 2 3 3 4 4 5 5 5 9 8
Vardas130 Pavarde130 1 2 2 2 4 5 7 7 9 9 10
Vardas1300 Pavarde1300 2 2 5 6 7 7 7 8 8 8 7
Vardas1302 Pavarde1302 2 2 5 5 6 7 7 8 10 10 7
Vardas1303 Pavarde1303 1 3 4 6 7 7 7 8 9 10 8
Vardas1305 Pavarde1305 1 1 1 2 3 3 5 8 10 10 7
Vardas1308 Pavarde1308 1 2 3 4 6 7 8 9 10 10 6
Vardas131 Pavarde131 1 2 5 7 7 9 9 10 10 10 9
Vardas1310 Pavarde1310 3 4 4 5 5 5 6 7 10 10 9
Vardas1311 Pavarde1311 1 2 2 3 6 7 7 8 9 10 9
Vardas1313 Pavarde1313 1 2 4 4 5 6 8 10 10 10 9
Vardas1314 Pavarde1314 1 1 5 6 6 6 6 8 8 8 5
Vardas1315 Pavarde1315 2 2 4 4 5 6 9 10 10 10 5
Vardas1317 Pavarde1317 1 1 2 3 4 6 7 8 8 8 7
Vardas1318 Pavarde1318 3 4 4 5 7 8 9 9 9 10 4
Vardas1322 Pavarde1322 1 2 4 6 6 7 9 9 9 10 9
Vardas1323 Pavarde1323 1 3 3 5 5 7 8 8 9 10 6
Vardas1324 Pavarde1324 1 1 2 3 6 6 8 9 10 10 5
Vardas1325 Pavarde1325 1 1 2 7 8 8 9 9 9 10 7
Vardas1326 Pavarde1326 1 2 3 4 4 5 5 8 9 10 9
Vardas1327 Pavarde1327 1 2 2 3 5 6 7 8 9 9 6
Vardas1328 Pavarde1328 1 2 3 5 6 6 7 8 8 10 5
Vardas1332 Pavarde1332 2 2 4 5 6 8 8 8 9 10 5
Vardas1333 Pavarde1333 3 3 4 4 6 7 7 9 9 9 10
Vardas1334 Pavarde1334 2 2 2 3 3 4 4 8 8 9 6
Vardas1335 Pavarde1335 1 4 5 6 7 8 9 10 10 10 9
Vardas1337 Pavarde1337 1 2 2 4 5 7 8 8 9 10 10
Vardas1339 Pavarde1339 2 3 4 5 5 6 10 10 10 10 5
Vardas1340 Pavarde1340 2 4 4 4 6 6 7 7 10 10 8
Vardas1342 Pavarde1342 1 1 3 3 6 8 8 8 10 10 8
Vardas1344 Pavarde1344 1 4 5 5 5 6 8 8 10 10 9
Vardas1345 Pavarde1345 1 2 2 3 3 4 4 6 7 10 7
Vardas1346 Pavarde1346 1 1 2 2 4 5 6 7 7 10 6
Vardas1347 Pavarde1347 1 3 4 4 5 6 6 7 8 10 9
Vardas1348 Pavarde1348 1 1 2 5 7 8 8 8 10 10 6
Vardas1349 Pavarde1349 2 2 3 4 5 6 9 10 10 10 5
Vardas135 Pavarde135 1 2 2 2 2 3 7 9 9 10 7
Vardas1352 Pavarde1352 1 2 2 4 5 6 6 6 7 9 7
Vardas1353 Pavarde1353 2 3 5 5 6 6 7 8 9 9 6
Vardas1354 Pavarde1354 1 1 3 3 3 5 8 9 10 10 8
Vardas1355 Pavarde1355 1 3 5 6 7 7 8 8 9 9 10
Vardas1356 Pavarde1356 1 2 4 6 7 8 8 8 10 10 9
Vardas1363 Pavarde1363 1 2 2 3 6 7 7 8 8 10 10
Vardas1364 Pavarde1364 4 4 6 6 7 8 9 9 10 10 8
Vardas1365 Pavarde1365 1 3 5 5 7 8 8 9 10 10 5
Vardas1366 Pavarde1366 1 1 2 2 3 3 3 6 6 10 9
Vardas1367 Pavarde1367 1 1 2 3 3 4 5 6 9 10 8
Vardas137 Pavarde137 1 2 4 4 5 5 5 7 8 9 10
Vardas1371 Pavarde1371 2 3 4 5 6 7 8 9 9 10 7
Vardas1374 Pavarde1374 1 2 3 4 6 6 7 9 10 10 6
Vardas1375 Pavarde1375 4 5 6 7 7 7 9 9 10 10 8
Vardas1376 Pavarde1376 2 2 3 5 6 6 8 8 8 10 9
Vardas1378 Pavarde1378 1 2 3 3 3 6 8 9 9 9 8
Vardas1379 Pavarde1379 1 2 6 7 7 7 8 9 9 10 4
Vardas138 Pavarde138 2 4 4 5 6 7 8 9 10 10 10
Vardas1381 Pavarde1381 1 2 3 4 4 5 5 7 7 9 8
Vardas1383 Pavarde1383 1 1 3 4 4 5 7 7 8 10 10
Vardas1384 Pavarde1384 1 2 3 4 6 7 7 9 9 10 5
Vardas1385 Pavarde1385 3 3 3 4 5 6 8 9 9 9 7
Vardas1386 Pavarde1386 3 4 6 7 7 7 8 9 10 10 4
Vardas1387 Pavarde1387 1 2 3 3 4 5 7 7 10 10 5
Vardas1388 Pavarde1388 1 1 2 2 3 4 8 9 9 10 8
Vardas1389 Pavarde1389 2 4 4 4 5 5 7 9 9 10 9
Vardas1390 Pavarde1390 1 2 3 3 4 7 8 9 10 10 9
Vardas1391 Pavarde1391 1 1 1 2 5 6 7 8 9 10 9
Vardas1393 Pavarde1393 1 1 2 2 2 4 4 5 9 10 6
Vardas1394 Pavarde1394 2 4 4 5 8 8 9 9 10 10 4
Vardas1395 Pavarde1395 1 2 3 3 7 7 8 8 9 10 8
Vardas1398 Pavarde1398 1 4 4 4 5 7 7 7 8 10 6
Vardas1399 Pavarde1399 1 2 3 7 7 7 7 9 9 10 9
Vardas14 Pavarde14 2 3 3 4 6 7 7 7 9 10 7
Vardas1400 Pavarde1400 1 1 1 1 2 3 4 4 6 7 10
Vardas1401 Pavarde1401 1 2 2 2 2 3 3 5 8 9 6
Vardas1402 Pavarde1402 1 2 2 2 3 4 5 6 6 9 6
Vardas1403 Pavarde1403 1 1 1 2 3 4 4 8 10 10 7
Vardas1404 Pavarde1404 1 2 3 4 4 5 8 8 8 8 8
Vardas1407 Pavarde1407 2 4 4 6 6 7 9 10 10 10 5
Vardas1408 Pavarde1408 2 3 4 4 6 7 8 9 9 10 9
Vardas1409 Pavarde1409 3 3 3 5 6 6 7 9 9 9 10
Vardas1412 Pavarde1412 1 3 3 4 5 5 8 9 9 10 6
Vardas1415 Pavarde1415 2 3 7 7 7 7 7 8 8 10 5
Vardas1416 Pavarde1416 1 1 1 3 3 5 5 8 8 10 6
Vardas1417 Pavarde1417 1 2 2 5 5 5 7 10 10 10 8
Vardas1419 Pavarde1419 1 1 2 3 3 3 4 7 8 9 10
Vardas142 Pavarde142 1 1 1 2 2 4 5 8 8 9 6
Vardas1420 Pavarde1420 2 3 3 4 4 5 6 7 7 9 9
Vardas1421 Pavarde1421 1 1 1 3 3 5 6 6 8 10 6
Vardas1422 Pavarde1422 2 3 3 5 5 6 6 7 8 10 10
Vardas1423 Pavarde1423 1 2 4 4 6 7 8 10 10 10 5
Vardas1427 Pavarde1427 1 4 4 6 7 7 8 8 8 10 8
Vardas1428 Pavarde1428 1 1 1 2 2 4 4 5 6 7 10
Vardas1429 Pavarde1429 1 2 3 3 4 5 5 5 8 10 10
Vardas143 Pavarde143 1 2 2 3 3 4 4 4 5 8 10
Vardas1435 Pavarde1435 1 2 3 3 5 5 5 8 10 10 10
Vardas1437 Pavarde1437 1 1 3 3 4 4 7 8 9 10 9
Vardas1441 Pavarde1441 2 3 4 4 5 5 7 7 8 10 6
Vardas1442 Pavarde1442 2 2 6 7 8 9 9 10 10 10 10
Vardas1444 Pavarde1444 1 2 3 8 8 8 9 10 10 10 10
Vardas1445 Pavarde1445 2 3 4 4 4 4 5 5 6 7 9
Vardas1447 Pavarde1447 1 2 3 6 6 7 7 8 9 10 5
Vardas1448 Pavarde1448 1 3 3 4 5 7 8 10 10 10 8
Vardas1451 Pavarde1451 3 5 5 6 7 8 8 8 10 10 9
Vardas1452 Pavarde1452 2 4 4 4 5 5 6 6 7 8 10
Vardas1454 Pavarde1454 2 2 2 3 3 4 5 7 8 10 9
Vardas1455 Pavarde1455 1 3 3 3 3 5 5 9 9 10 6
Vardas1456 Pavarde1456 1 2 3 4 4 4 5 10 10 10 10
Vardas1457 Pavarde1457 1 2 2 4 6 6 7 7 8 9 8
Vardas1458 Pavarde1458 1 2 2 2 4 4 5 6 8 9 9
Vardas1459 Pavarde1459 1 1 2 3 3 7 7 8 9 9 6
Vardas146 Pavarde146 1 2 3 4 4 4 7 9 10 10 8
Vardas1462 Pavarde1462 1 4 6 6 6 6 7 7 10 10 9
Vardas1464 Pavarde1464 1 1 3 4 4 4 5 7 9 9 9
Vardas147 Pavarde147 1 2 2 4 4 5 6 7 8 10 7
Vardas1471 Pavarde1471 3 4 5 5 6 7 7 8 10 10 6
Vardas1474 Pavarde1474 2 3 3 4 5 6 7 8 8 8 10
Vardas1477 Pavarde1477 3 5 7 8 8 9 9 10 10 10 7
Vardas1478 Pavarde1478 1 4 4 5 6 7 8 8 9 10 7
Vardas1479 Pavarde1479 3 3 4 5 5 5 6 9 10 10 10
Vardas1480 Pavarde1480 1 2 3 3 4 5 8 8 9 10 9
Vardas1481 Pavarde1481 1 2 3 4 4 6 6 6 8 8 10
Vardas1484 Pavarde1484 1 2 2 2 3 4 7 7 9 10 7
Vardas1485 Pavarde1485 3 3 3 4 5 6 6 6 7 8 6
Vardas1487 Pavarde1487 1 2 3 4 5 5 6 7 9 10 6
Vardas1489 Pavarde1489 2 3 4 5 7 7 8 9 10 10 10
Vardas149 Pavarde149 1 1 1 4 6 6 6 9 10 10 10
Vardas1490 Pavarde1490 1 2 3 6 6 7 8 8 9 10 10
Vardas1491 Pavarde1491 1 2 2 3 4 5 5 5 8 9 9
Vardas1493 Pavarde1493 2 3 4 4 4 5 5 6 7 10 10
Vardas1494 Pavarde1494 3 3 4 5 6 6 7 8 9 10 6
Vardas1496 Pavarde1496 1 2 2 3 4 4 5 6 7 10 8
Vardas1499 Pavarde1499 1 6 6 8 8 8 9 9 10 10 10
Vardas150 Pavarde150 1 1 3 3 4 5 8 8 10 10 5
Vardas1501 Pavarde1501 1 1 1 4 6 8 8 8 9 10 10
Vardas1504 Pavarde1504 1 2 3 7 8 8 8 8 8 10 7
Vardas1505 Pavarde1505 1 2 5 5 6 8 8 10 10 10 6
Vardas1507 Pavarde1507 2 2 4 5 5 6 6 8 9 9 10
Vardas1509 Pavarde1509 1 2 5 6 6 7 7 7 7 8 10
Vardas1511 Pavarde1511 1 1 2 3 5 7 7 7 7 10 9
Vardas1512 Pavarde1512 1 5 5 8 8 9 9 10 10 10 7
Vardas1513 Pavarde1513 2 2 3 6 6 8 9 9 9 10 7
Vardas1514 Pavarde1514 1 2 2 3 3 5 6 8 9 9 8
Vardas1515 Pavarde1515 1 2 2 3 3 4 5 7 9 10 9
Vardas1516 Pavarde1516 3 3 4 5 5 6 7 7 8 9 8
Vardas1517 Pavarde1517 1 5 5 6 7 8 8 9 10 10 5
Vardas1518 Pavarde1518 1 1 3 4 6 6 6 7 7 10 5
Vardas1519 Pavarde1519 1 2 3 3 4 6 8 9 10 10 7
Vardas152 Pavarde152 1 4 4 4 6 7 8 8 9 10 5
Vardas1520 Pavarde1520 1 3 3 6 7 7 8 8 10 10 8
Vardas1522 Pavarde1522 2 3 4 4 4 7 7 7 9 10 5
Vardas1524 Pavarde1524 1 2 2 2 3 3 3 5 7 9 8
Vardas1525 Pavarde1525 1 2 2 3 8 8 8 8 10 10 6
Vardas1526 Pavarde1526 1 3 4 5 6 6 7 7 7 9 8
Vardas1527 Pavarde1527 1 1 2 3 5 5 8 9 9 10 6
Vardas1530 Pavarde1530 1 1 2 4 4 5 8 8 9 9 6
Vardas1531 Pavarde1531 1 2 2 3 4 5 6 6 8 10 7
Vardas1532 Pavarde1532 1 2 4 5 5 7 8 9 9 10 8
Vardas1533 Pavarde1533 1 2 4 5 8 8 9 9 9 10 7
Vardas1535 Pavarde1535 1 1 1 2 3 3 4 5 6 9 10
Vardas1536 Pavarde1536 1 2 3 4 4 5 5 6 7 8 8
Vardas1538 Pavarde1538 1 3 3 4 4 4 8 9 9 10 8
Vardas154 Pavarde154 1 2 2 3 3 3 6 7 10 10 6
Vardas1542 Pavarde1542 1 4 5 6 6 6 7 7 8 9 8
Vardas1544 Pavarde1544 1 3 3 4 4 5 7 7 8 9 9
Vardas1548 Pavarde1548 2 4 5 5 5 8 8 9 10 10 7
Vardas1549 Pavarde1549 1 3 6 6 7 8 8 8 10 10 10
Vardas1550 Pavarde1550 1 1 3 6 7 7 8 8 8 10 7
Vardas1552 Pavarde1552 1 2 2 3 3 4 6 7 8 9 8
Vardas1553 Pavarde1553 1 1 3 3 4 4 6 7 9 9 6
Vardas1554 Pavarde1554 3 4 4 6 7 7 8 8 9 9 8
Vardas1555 Pavarde1555 1 1 2 2 3 4 4 8 8 8 7
Vardas1556 Pavarde1556 1 2 3 4 4 4 7 7 8 9 7
Vardas1557 Pavarde1557 1 2 3 4 5 6 6 7 7 10 7
Vardas1559 Pavarde1559 2 2 3 3 7 7 8 9 9 10 6
Vardas156 Pavarde156 1 1 4 5 6 6 8 10 10 10 9
Vardas1561 Pavarde1561 1 3 4 5 5 8 9 9 10 10 8
Vardas1565 Pavarde1565 1 1 3 3 5 7 7 8 9 9 10
Vardas1567 Pavarde1567 2 3 4 6 7 8 8 8 9 9 9
Vardas1568 Pavarde1568 1 1 1 1 3 7 8 9 9 10 6
Vardas1570 Pavarde1570 1 2 4 4 7 7 8 8 9 10 8
Vardas1571 Pavarde1571 2 3 5 6 6 8 8 10 10 10 10
Vardas1572 Pavarde1572 2 2 3 3 5 5 6 9 9 9 8
Vardas1573 Pavarde1573 1 1 1 3 3 4 5 7 8 10 7
Vardas1575 Pavarde1575 1 3 4 5 5 9 9 9 10 10 6
Vardas1576 Pavarde1576 1 1 3 4 6 7 8 10 10 10 8
Vardas1577 Pavarde1577 1 1 3 3 4 6 6 7 9 9 8
Vardas1578 Pavarde1578 2 3 3 4 5 5 5 7 7 9 9
Vardas1579 Pavarde1579 1 1 3 4 6 8 9 9 10 10 6
Vardas1580 Pavarde1580 1 2 2 2 3 5 7 8 9 9 6
Vardas1581 Pavarde1581 1 1 2 4 6 8 9 9 10 10 10
Vardas1582 Pavarde1582 1 1 2 2 3 3 4 5 8 10 7
Vardas1583 Pavarde1583 1 1 3 4 7 7 7 9 9 9 6
Vardas1584 Pavarde1584 1 1 2 2 2 4 4 5 5 6 9
Vardas1587 Pavarde1587 2 2 5 6 6 6 7 7 8 9 9
Vardas159 Pavarde159 1 1 1 2 3 5 5 7 8 8 10
