Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Galutinis
Vardas10142 Pavarde10142 1 2 3 3 3 4 7 8 8 10 10
Vardas10143 Pavarde10143 1 2 2 3 4 5 7 9 10 10 5
Vardas10144 Pavarde10144 1 1 2 5 7 7 8 8 8 10 5
Vardas10145 Pavarde10145 1 1 1 4 4 5 5 8 8 10 7
Vardas10148 Pavarde10148 1 2 2 3 4 5 5 6 6 7 6
Vardas10149 Pavarde10149 2 2 4 4 4 7 7 8 9 10 9
Vardas10150 Pavarde10150 2 2 3 4 5 6 7 7 10 10 7
Vardas10152 Pavarde10152 1 2 3 5 6 6 7 7 8 10 6
Vardas10153 Pavarde10153 1 3 3 4 4 4 6 8 8 10 8
Vardas10154 Pavarde10154 2 3 3 3 4 5 6 6 7 8 7
Vardas10155 Pavarde10155 1 2 3 3 4 6 6 7 8 9 9
Vardas10159 Pavarde10159 3 3 4 6 7 7 8 8 9 9 8
Vardas10160 Pavarde10160 1 2 2 3 5 7 7 8 8 10 7
Vardas10162 Pavarde10162 1 1 3 3 4 6 7 9 9 10 5
Vardas10163 Pavarde10163 1 2 4 6 6 8 8 9 9 10 8
Vardas10165 Pavarde10165 1 2 5 7 8 8 8 9 9 9 4
Vardas10167 Pavarde10167 2 4 4 5 6 7 8 8 9 10 6
Vardas10168 Pavarde10168 1 1 2 2 2 6 6 6 7 8 7
Vardas10169 Pavarde10169 2 2 2 3 3 5 5 5 10 10 8
Vardas1017 Pavarde1017 2 4 4 5 5 6 7 8 8 10 10
Vardas10171 Pavarde10171 1 1 2 3 5 5 5 6 7 9 10
Vardas10172 Pavarde10172 3 5 6 6 7 8 8 9 9 10 6
Vardas10173 Pavarde10173 3 4 4 5 6 8 8 8 9 10 5
Vardas10174 Pavarde10174 1 1 1 4 5 5 6 7 8 9 10
Vardas10177 Pavarde10177 1 1 3 4 5 5 6 7 9 10 6
Vardas1018 Pavarde1018 1 3 4 6 6 7 7 7 8 9 5
Vardas10181 Pavarde10181 1 1 3 3 4 5 5 6 8 10 9
Vardas10182 Pavarde10182 1 3 3 3 4 5 5 5 9 9 6
Vardas10183 Pavarde10183 3 3 3 4 4 5 5 7 7 8 8
Vardas10184 Pavarde10184 1 2 3 4 4 4 4 6 8 9 6
Vardas10185 Pavarde10185 1 1 1 3 6 6 9 9 10 10 8
Vardas10186 Pavarde10186 1 2 2 2 3 4 8 9 9 10 7
Vardas10189 Pavarde10189 1 3 4 5 5 7 8 8 8 10 5
Vardas10190 Pavarde10190 2 3 4 5 6 7 8 9 9 9 6
Vardas10192 Pavarde10192 1 2 3 5 5 7 7 8 8 10 6
Vardas10195 Pavarde10195 1 1 1 2 5 6 6 7 9 10 8
Vardas10196 Pavarde10196 2 5 5 6 6 6 8 8 9 10 6
Vardas10197 Pavarde10197 1 3 4 4 6 6 6 7 7 8 7
Vardas10198 Pavarde10198 1 2 2 2 3 5 6 7 7 7 6
Vardas102 Pavarde102 1 3 3 4 6 7 8 9 9 10 7
Vardas10200 Pavarde10200 1 2 3 6 7 7 8 8 9 10 8
Vardas10201 Pavarde10201 1 3 3 5 6 7 7 7 8 10 7
Vardas10203 Pavarde10203 1 1 8 8 8 8 9 9 9 10 4
Vardas10205 Pavarde10205 2 2 2 2 4 5 5 7 8 9 7
Vardas10206 Pavarde10206 1 2 3 4 5 6 7 8 9 10 6
Vardas10208 Pavarde10208 1 1 2 3 6 7 8 8 9 10 10
Vardas10209 Pavarde10209 1 1 1 3 4 6 9 9 9 10 8
Vardas10210 Pavarde10210 1 3 3 3 6 7 7 8 8 10 8
Vardas10211 Pavarde10211 1 2 3 4 4 6 6 7 8 10 8
Vardas10213 Pavarde10213 1 1 2 3 3 4 6 7 7 7 8
Vardas10215 Pavarde10215 4 5 6 7 8 8 9 10 10 10 9
Vardas10216 Pavarde10216 2 4 5 5 5 5 5 7 8 9 10
Vardas10218 Pavarde10218 1 2 3 3 6 6 6 7 8 10 8
Vardas10221 Pavarde10221 2 3 4 5 5 6 7 7 8 9 5
Vardas10222 Pavarde10222 2 2 2 3 3 4 4 6 8 9 7
Vardas10224 Pavarde10224 1 1 2 4 4 4 5 6 10 10 10
Vardas10226 Pavarde10226 1 1 2 2 3 4 8 9 10 10 8
Vardas10227 Pavarde10227 1 2 3 6 8 8 9 9 10 10 7
Vardas10229 Pavarde10229 2 2 3 5 5 7 8 8 9 9 7
Vardas1023 Pavarde1023 1 2 2 4 6 6 6 7 7 10 7
Vardas10230 Pavarde10230 1 1 5 5 6 8 8 8 8 9 10
Vardas10231 Pavarde10231 2 2 5 6 6 6 7 8 8 9 6
Vardas10232 Pavarde10232 3 3 3 5 6 7 7 8 8 9 7
Vardas10233 Pavarde10233 1 3 4 5 6 7 8 9 9 10 9
Vardas10234 Pavarde10234 5 6 6 6 7 8 8 8 10 10 8
Vardas10236 Pavarde10236 2 3 3 4 4 4 7 8 8 9 5
Vardas10241 Pavarde10241 2 2 4 5 6 6 8 8 9 10 10
Vardas10244 Pavarde10244 1 2 2 3 6 6 7 9 9 10 10
Vardas10246 Pavarde10246 1 2 4 4 4 4 4 5 7 8 6
Vardas10247 Pavarde10247 2 3 4 5 5 6 7 8 8 9 5
Vardas10249 Pavarde10249 1 2 3 4 4 4 6 9 9 10 9
Vardas10250 Pavarde10250 5 6 7 8 9 9 9 10 10 10 9
Vardas10251 Pavarde10251 1 3 4 4 5 6 7 9 9 10 10
Vardas10252 Pavarde10252 2 3 3 4 5 5 6 6 8 9 9
Vardas10253 Pavarde10253 1 2 2 5 5 6 7 8 9 10 5
Vardas10254 Pavarde10254 1 1 2 2 4 4 5 6 7 8 8
Vardas10255 Pavarde10255 1 1 3 4 4 5 7 8 8 9 8
Vardas10256 Pavarde10256 1 1 4 4 4 5 9 9 9 10 6
Vardas10258 Pavarde10258 1 2 3 4 6 7 9 10 10 10 7
Vardas1026 Pavarde1026 2 4 4 4 5 7 7 7 8 10 8
Vardas10260 Pavarde10260 2 3 3 4 5 5 7 9 9 10 6
Vardas10263 Pavarde10263 1 3 3 4 5 6 9 9 9 10 8
Vardas10266 Pavarde10266 1 2 2 3 4 7 7 8 10 10 5
Vardas1027 Pavarde1027 2 3 3 4 4 5 5 6 7 9 10
Vardas10270 Pavarde10270 2 2 4 6 6 7 7 8 9 10 5
Vardas10272 Pavarde10272 1 2 4 5 5 7 8 8 9 9 6
Vardas10274 Pavarde10274 2 4 5 6 7 7 7 8 9 10 7
Vardas10276 Pavarde10276 1 2 4 5 6 8 9 9 10 10 10
Vardas1028 Pavarde1028 2 3 3 5 6 8 9 10 10 10 8
Vardas10281 Pavarde10281 2 4 4 5 5 7 7 8 9 9 6
Vardas10282 Pavarde10282 1 1 2 3 3 6 7 8 9 9 10
Vardas10283 Pavarde10283 2 2 2 2 3 4 6 6 6 8 6
Vardas10284 Pavarde10284 1 1 3 4 5 6 7 7 9 10 8
Vardas10285 Pavarde10285 3 4 5 5 6 7 7 8 10 10 9
Vardas10286 Pavarde10286 1 2 2 5 5 5 5 6 9 10 10
Vardas10289 Pavarde10289 1 1 2 3 3 5 5 6 9 10 6
Vardas1029 Pavarde1029 1 1 2 3 4 5 9 10 10 10 9
Vardas10291 Pavarde10291 1 1 2 4 5 6 7 8 9 10 7
Vardas10292 Pavarde10292 1 2 2 4 4 5 6 8 9 10 9
Vardas10293 Pavarde10293 2 2 2 4 5 6 6 8 8 9 5
Vardas10295 Pavarde10295 1 2 3 3 4 6 6 6 8 8 8
Vardas10296 Pavarde10296 1 1 6 7 7 7 8 8 9 9 9
Vardas10297 Pavarde10297 1 1 3 4 4 7 7 8 9 9 5
Vardas10298 Pavarde10298 1 2 3 5 7 7 7 7 10 10 10
Vardas10299 Pavarde10299 1 4 6 7 7 7 8 9 10 10 7
Vardas103 Pavarde103 1 3 4 5 6 6 7 8 9 10 6
Vardas1030 Pavarde1030 1 3 4 4 4 5 6 7 8 10 8
Vardas10301 Pavarde10301 4 5 5 5 6 9 9 9 10 10 6
Vardas10302 Pavarde10302 2 2 2 2 5 5 7 8 8 8 6
Vardas10304 Pavarde10304 1 4 4 5 6 7 7 8 10 10 10
Vardas10305 Pavarde10305 1 1 2 3 4 6 7 7 7 8 7
Vardas10306 Pavarde10306 2 3 5 5 6 7 7 8 10 10 10
Vardas10307 Pavarde10307 1 2 2 3 4 5 6 10 10 10 8
Vardas1031 Pavarde1031 2 3 3 3 5 5 6 7 8 9 10
Vardas10310 Pavarde10310 1 1 4 4 5 6 7 8 9 9 8
Vardas10311 Pavarde10311 1 2 2 2 3 4 4 5 7 10 8
Vardas10312 Pavarde10312 1 2 2 4 4 5 6 8 9 9 6
Vardas10313 Pavarde10313 1 2 4 4 5 7 8 8 9 10 8
Vardas10314 Pavarde10314 2 3 4 6 6 7 8 10 10 10 10
Vardas10315 Pavarde10315 1 1 2 4 5 6 6 8 9 10 6
Vardas10317 Pavarde10317 1 1 4 5 6 6 6 7 7 9 7
Vardas10319 Pavarde10319 2 2 3 3 6 6 7 9 9 10 9
Vardas10323 Pavarde10323 1 2 2 4 6 8 8 9 9 10 9
Vardas10327 Pavarde10327 1 1 2 3 4 5 5 6 7 8 8
Vardas10328 Pavarde10328 1 2 3 3 5 7 8 8 9 10 8
Vardas10329 Pavarde10329 2 3 4 5 5 6 6 8 8 9 10
Vardas1033 Pavarde1033 3 4 5 6 6 8 8 9 9 10 5
Vardas10331 Pavarde10331 1 3 3 3 4 5 5 6 9 10 10
Vardas10332 Pavarde10332 2 2 3 3 5 6 7 8 10 10 5
Vardas10334 Pavarde10334 4 5 6 6 6 7 7 8 9 9 7
Vardas10336 Pavarde10336 1 2 5 5 5 7 8 9 9 10 8
Vardas10337 Pavarde10337 3 4 5 5 6 8 8 9 9 10 8
Vardas10338 Pavarde10338 1 2 3 3 3 3 4 7 7 7 10
Vardas10339 Pavarde10339 1 5 6 6 7 8 9 9 10 10 5
Vardas1034 Pavarde1034 1 3 4 5 6 7 8 8 10 10 10
Vardas10340 Pavarde10340 1 1 4 5 6 7 7 9 9 10 5
Vardas10341 Pavarde10341 1 2 4 5 5 7 7 9 10 10 10
Vardas10342 Pavarde10342 2 3 4 7 7 7 8 9 10 10 5
Vardas10343 Pavarde10343 1 1 1 2 4 4 4 6 7 8 8
Vardas10346 Pavarde10346 5 5 5 6 6 8 9 10 10 10 7
Vardas10347 Pavarde10347 2 3 6 6 8 8 8 9 10 10 7
Vardas10348 Pavarde10348 1 2 3 5 5 6 7 7 9 10 10
Vardas10350 Pavarde10350 1 1 3 3 3 3 4 8 9 10 7
Vardas10351 Pavarde10351 1 2 2 2 4 6 6 8 9 9 7
Vardas10352 Pavarde10352 1 3 4 4 5 6 6 8 10 10 5
Vardas10353 Pavarde10353 1 3 3 4 4 6 6 8 8 9 5
Vardas10355 Pavarde10355 1 1 1 1 4 4 6 6 8 9 8
Vardas10357 Pavarde10357 1 1 1 3 5 6 8 9 9 9 10
Vardas10358 Pavarde10358 1 2 2 6 8 8 9 9 9 10 9
Vardas10359 Pavarde10359 1 5 5 5 5 6 9 10 10 10 9
Vardas10360 Pavarde10360 4 5 8 8 8 9 9 9 9 10 4
Vardas10367 Pavarde10367 1 1 1 3 5 5 8 8 9 10 6
Vardas10368 Pavarde10368 1 2 3 4 4 5 6 6 6 8 6
Vardas10369 Pavarde10369 2 3 4 6 6 7 7 7 8 9 8
Vardas1037 Pavarde1037 1 2 5 5 6 6 7 8 10 10 8
Vardas10370 Pavarde10370 1 2 3 3 4 4 6 7 7 10 9
Vardas10371 Pavarde10371 1 2 3 4 4 7 7 7 9 10 9
Vardas10374 Pavarde10374 2 2 2 3 6 6 7 7 7 9 8
Vardas10375 Pavarde10375 2 2 3 3 5 6 8 8 10 10 10
Vardas10377 Pavarde10377 1 1 2 2 3 4 4 7 8 9 10
Vardas10378 Pavarde10378 1 2 3 5 5 6 7 7 10 10 9
Vardas10379 Pavarde10379 1 2 2 3 4 6 7 7 7 9 10
Vardas1038 Pavarde1038 1 1 3 5 6 7 7 8 8 8 8
Vardas10380 Pavarde10380 1 3 4 5 6 7 8 8 8 9 9
Vardas10385 Pavarde10385 1 2 5 5 6 6 7 7 7 8 8
Vardas10386 Pavarde10386 2 3 3 4 5 6 6 8 8 9 6
Vardas10387 Pavarde10387 2 2 2 5 7 8 8 8 8 9 9
Vardas1039 Pavarde1039 1 2 3 4 5 5 7 8 8 8 10
Vardas10390 Pavarde10390 1 6 6 7 7 9 10 10 10 10 7
Vardas10395 Pavarde10395 1 1 1 3 5 6 6 9 9 10 5
Vardas10397 Pavarde10397 2 2 3 3 3 5 5 6 7 9 6
Vardas10398 Pavarde10398 2 2 4 6 7 8 9 9 10 10 4
Vardas10399 Pavarde10399 1 2 2 4 6 6 6 7 7 9 7
Vardas104 Pavarde104 1 2 3 3 4 5 5 5 7 8 10
Vardas10400 Pavarde10400 1 1 2 3 3 3 4 7 9 10 7
Vardas10401 Pavarde10401 2 3 4 4 5 6 6 7 7 9 6
Vardas10404 Pavarde10404 2 5 6 6 7 9 9 9 10 10 8
Vardas10405 Pavarde10405 1 3 4 5 5 5 5 8 10 10 10
Vardas10406 Pavarde10406 1 1 2 3 5 5 7 10 10 10 5
Vardas10409 Pavarde10409 2 2 2 3 3 5 5 7 9 10 9
Vardas10411 Pavarde10411 2 2 4 4 4 4 6 6 10 10 5
Vardas10413 Pavarde10413 1 4 4 5 6 7 9 9 9 9 6
Vardas10414 Pavarde10414 1 1 3 3 5 6 9 10 10 10 9
Vardas10415 Pavarde10415 1 1 2 2 3 3 7 9 9 9 8
Vardas10419 Pavarde10419 1 2 3 3 3 3 5 5 8 9 10
Vardas10420 Pavarde10420 2 2 2 2 4 4 6 6 7 8 7
Vardas10421 Pavarde10421 1 1 3 3 3 4 5 7 8 9 10
Vardas10422 Pavarde10422 1 1 1 4 5 5 7 7 8 9 7
Vardas10424 Pavarde10424 1 1 1 2 2 3 3 5 8 10 7
Vardas10427 Pavarde10427 3 3 4 4 5 5 5 8 9 10 8
Vardas10431 Pavarde10431 1 2 6 6 7 7 8 8 9 10 9
Vardas10432 Pavarde10432 1 3 4 4 6 6 7 7 9 9 6
Vardas10433 Pavarde10433 3 3 4 4 5 5 8 9 10 10 8
Vardas10434 Pavarde10434 1 1 4 4 4 7 8 9 9 10 8
Vardas10435 Pavarde10435 1 1 3 4 5 6 8 9 10 10 6
Vardas10437 Pavarde10437 3 3 5 5 5 7 7 8 8 8 10
Vardas10440 Pavarde10440 1 1 2 4 7 7 8 9 9 10 5
Vardas10442 Pavarde10442 4 4 6 6 7 7 7 7 9 10 7
Vardas10443 Pavarde10443 1 1 3 4 4 8 9 9 10 10 8
Vardas10445 Pavarde10445 3 3 4 4 4 7 8 8 9 9 5
Vardas10446 Pavarde10446 1 1 3 4 4 5 6 8 9 9 6
Vardas10447 Pavarde10447 1 2 3 4 4 5 6 7 7 8 9
Vardas10449 Pavarde10449 2 2 3 3 6 6 7 8 9 9 8
Vardas1045 Pavarde1045 1 2 2 3 4 5 6 7 8 9 10
Vardas10451 Pavarde10451 1 1 4 5 6 7 8 8 10 10 7
Vardas10452 Pavarde10452 1 2 4 4 7 8 8 8 9 10 9
Vardas10453 Pavarde10453 1 2 2 2 5 6 7 7 8 9 8
Vardas10454 Pavarde10454 2 2 2 3 5 5 6 7 8 9 9
Vardas10455 Pavarde10455 1 3 6 6 8 8 9 9 10 10 10
Vardas10456 Pavarde10456 3 3 6 7 7 8 8 9 9 10 10
Vardas10457 Pavarde10457 1 2 2 3 5 7 8 9 9 10 6
Vardas10459 Pavarde10459 1 2 2 3 3 5 7 8 8 10 10
Vardas1046 Pavarde1046 3 5 5 5 6 7 8 9 9 9 7
Vardas10462 Pavarde10462 2 3 3 4 4 5 5 6 6 10 9
Vardas10464 Pavarde10464 1 1 2 3 6 6 7 8 9 10 7
Vardas10465 Pavarde10465 3 3 3 5 5 7 8 9 9 10 5
Vardas10466 Pavarde10466 2 5 5 6 6 6 6 7 8 8 6
Vardas10467 Pavarde10467 1 1 1 1 2 3 6 7 7 9 9
Vardas10471 Pavarde10471 1 2 4 5 6 8 9 9 10 10 5
Vardas10475 Pavarde10475 1 2 2 2 6 8 8 9 9 9 5
Vardas10476 Pavarde10476 1 2 3 4 5 5 6 6 7 9 6
Vardas10479 Pavarde10479 2 3 4 4 6 8 8 9 10 10 6
Vardas1048 Pavarde1048 1 1 2 3 5 6 7 8 9 10 7
Vardas10481 Pavarde10481 1 1 1 1 4 5 6 7 10 10 7
Vardas10486 Pavarde10486 1 3 4 5 5 7 8 9 9 10 6
Vardas10489 Pavarde10489 1 3 3 4 5 5 7 8 9 10 5
Vardas1049 Pavarde1049 1 2 3 4 5 7 8 10 10 10 8
Vardas10491 Pavarde10491 1 1 2 3 6 7 8 8 10 10 7
Vardas10492 Pavarde10492 2 2 3 4 4 4 6 7 9 10 5
Vardas10495 Pavarde10495 1 1 1 1 4 5 8 8 9 10 6
Vardas10496 Pavarde10496 1 2 3 3 3 4 4 5 9 10 8
Vardas10497 Pavarde10497 2 3 4 4 5 5 5 7 7 9 7
Vardas10498 Pavarde10498 3 3 3 4 5 5 6 6 7 8 7
Vardas1050 Pavarde1050 1 1 1 2 3 3 4 7 7 8 8
Vardas10500 Pavarde10500 1 3 3 3 3 6 7 8 8 9 5
Vardas10501 Pavarde10501 2 2 2 5 5 6 7 8 10 10 9
Vardas10503 Pavarde10503 1 1 2 2 5 5 5 7 9 10 7
Vardas10505 Pavarde10505 2 2 3 4 5 6 6 7 9 9 5
Vardas10508 Pavarde10508 1 1 4 5 6 6 6 7 9 10 10
Vardas1051 Pavarde1051 2 2 4 4 6 6 6 8 8 8 9
Vardas10511 Pavarde10511 2 2 5 6 7 8 8 9 9 9 6
Vardas10514 Pavarde10514 1 3 4 4 6 6 7 8 9 10 10
Vardas10515 Pavarde10515 1 2 3 4 4 4 7 9 9 10 9
Vardas10516 Pavarde10516 2 3 4 5 6 7 9 9 9 10 7
Vardas10517 Pavarde10517 2 2 3 4 7 7 7 8 8 10 10
Vardas10519 Pavarde10519 1 2 2 3 3 3 4 4 7 10 6
Vardas10520 Pavarde10520 1 1 2 2 4 5 5 6 8 9 7
Vardas10522 Pavarde10522 2 4 4 5 6 8 8 8 9 10 6
Vardas10525 Pavarde10525 2 4 4 5 8 8 8 9 9 9 4
Vardas10526 Pavarde10526 2 2 3 5 6 6 8 8 9 10 7
Vardas10527 Pavarde10527 3 3 3 4 4 5 6 6 6 9 8
Vardas10529 Pavarde10529 1 3 3 3 3 3 6 6 9 10 9
Vardas10531 Pavarde10531 1 2 2 2 4 5 6 6 8 8 8
Vardas10532 Pavarde10532 2 2 2 4 5 6 7 7 8 10 6
Vardas10533 Pavarde10533 2 3 4 6 6 9 10 10 10 10 5
Vardas10536 Pavarde10536 1 3 3 3 3 4 6 6 7 9 9
Vardas10537 Pavarde10537 1 2 3 3 4 6 8 10 10 10 10
Vardas10538 Pavarde10538 2 4 5 5 6 6 6 9 10 10 6
Vardas10539 Pavarde10539 2 2 4 6 7 7 8 9 10 10 10
Vardas1054 Pavarde1054 1 2 3 3 5 6 7 7 8 9 6
Vardas10542 Pavarde10542 2 3 3 6 7 8 9 9 10 10 10
Vardas10543 Pavarde10543 2 2 3 7 7 8 8 9 10 10 5
Vardas10544 Pavarde10544 3 3 3 4 4 5 5 6 9 9 8
Vardas10545 Pavarde10545 1 2 3 4 4 4 6 6 10 10 10
Vardas10549 Pavarde10549 3 4 4 5 6 7 7 10 10 10 9
Vardas1055 Pavarde1055 2 3 3 3 6 6 8 9 9 9 6
Vardas10550 Pavarde10550 1 2 3 4 4 5 6 7 8 9 9
Vardas10553 Pavarde10553 1 1 1 3 6 7 8 8 10 10 9
Vardas10554 Pavarde10554 1 2 2 5 5 7 7 8 8 9 5
Vardas10556 Pavarde10556 2 3 3 3 4 6 7 7 8 10 5
Vardas10557 Pavarde10557 2 2 3 3 3 5 7 7 7 10 9
Vardas10558 Pavarde10558 2 3 4 4 7 9 9 10 10 10 9
Vardas10559 Pavarde10559 1 1 1 2 2 3 4 5 8 10 10
Vardas1056 Pavarde1056 1 3 4 4 5 5 6 8 8 10 6
Vardas10562 Pavarde10562 1 1 2 4 5 6 9 9 9 10 5
Vardas10564 Pavarde10564 1 5 6 7 7 8 8 9 10 10 8
Vardas10565 Pavarde10565 2 2 2 5 6 7 9 9 10 10 8
Vardas10566 Pavarde10566 2 2 3 3 4 5 9 9 10 10 6
Vardas10567 Pavarde10567 1 2 2 4 4 4 7 9 10 10 7
Vardas1057 Pavarde1057 1 3 4 5 6 6 6 7 7 9 8
Vardas10570 Pavarde10570 1 1 3 5 5 7 8 8 8 10 9
Vardas10572 Pavarde10572 2 2 2 3 4 5 8 9 9 10 7
Vardas10573 Pavarde10573 2 2 2 2 3 5 5 6 6 9 7
Vardas10574 Pavarde10574 3 3 4 4 5 5 6 8 8 9 5
Vardas10575 Pavarde10575 2 3 4 6 7 8 9 9 9 10 4
Vardas10578 Pavarde10578 2 3 4 5 6 8 8 8 9 10 5
Vardas10579 Pavarde10579 1 1 2 5 6 6 8 8 9 9 6
Vardas1058 Pavarde1058 2 2 3 4 6 6 8 8 8 9 9
Vardas10580 Pavarde10580 1 1 3 4 5 7 7 8 9 10 7
Vardas10581 Pavarde10581 1 3 3 5 6 7 9 10 10 10 7
Vardas10583 Pavarde10583 1 1 2 2 2 3 4 6 8 9 6
Vardas10586 Pavarde10586 6 6 6 7 8 9 9 9 10 10 4
Vardas10588 Pavarde10588 2 2 3 3 4 6 8 9 9 10 9
